Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (SDG),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SDGB","Indicateurs ODD","2","Afghanistan","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","65223","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","202","Afrique du Sud","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","121309","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","3","Albanie","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","2740","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","4","Algérie","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","238174","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","79","Allemagne","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","34939","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","6","Andorre","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","47","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","7","Angola","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","124670","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","258","Anguilla","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","9","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","8","Antigua-et-Barbuda","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","44","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","194","Arabie saoudite","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","214969","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","24","Archipel des Chagos","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","6","","","Global | Not in FAOSTAT. Data from national Website. | Estimated data"
"SDGB","Indicateurs ODD","9","Argentine","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","273669","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","1","Arménie","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","2847","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","22","Aruba","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","18","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","10","Australie","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","769202","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","11","Autriche","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","8252","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","52","Azerbaïdjan","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","8265.4","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","12","Bahamas","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","1001","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","13","Bahreïn","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","78.3","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","16","Bangladesh","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","13017","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","14","Barbade","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","43","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","57","Bélarus","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","20296.5","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","255","Belgique","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","3028","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","23","Belize","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","2281","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","53","Bénin","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","11276","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","17","Bermudes","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","5.4","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
"SDGB","Indicateurs ODD","18","Bhoutan","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","3814","","","Global | Data from FAOSTAT extracted 20220110 | Estimated data"
"SDGB","Indicateurs ODD","19","Bolivie (État plurinational de)","6176","Valeur","AG_LND_TOTL","15.1.1 Land area (thousands of hectares)","2020","2020","1000 ha","108330","","","Global | FAO estimate based on FAOSTAT data from 2019 | Estimated data"
